eu achei um porqueira uma merda fidida,Bad
eu achei um porqueira uma merda fidida,Bad
tecido muito feio decpção,0
não aconselho a 1ª vez que encomendei ja havia feito o pagamento e me ligaram dizendo que não podiam entragar devido ao dia de iemanja em salvador na 2ª fui mais infeliz pois encomendei uma coroa grande e me deparei com uma coroa pequena feia e totalmente diferente do acertado informei briguei tanto sim que depois de 1 semana me ligaram pedindo desculpas e me devolveram r$ 60 00 equivalente ao tamanho da coroa enviaram uma pequena não recomendo e tampouco vou encomendar mais com essa empresa,0
ótimo produto para o meu cachorro,0
fiz dois contatos o 1º foi mto mal o atendente anotou meus dados e disse que retornaria em seguida não me recordo o nome (valmir se não me engano mas não tenho certeza sei que era do sexo masculino) passou 1h e não houve retorno este atendimento avalio como nota 1 péssimo então retornei a ligação e fui atendida pela cinthia cujo atendimento avalio com nota 3 bom pois solicitei uma data de vencimento (05/05/2014) e o boleto veio com outra data retornei o contato e foi alterado sem problemas,0
bom dia eu comprei como branco e veio um branco meio bege claro o produto e ótimo a cor e feia,0
uma merda ate agora não chegou meu produto ainda,Bad
uma merda ate agora não chegou meu produto ainda,Bad
boa qualidade mas podia ser mais justa na rosca,0
então eu ganhei desconto na coroa porque a coroa que pedi foi a da foto porém as que vcs entregaram não tem nada a ver foi totalmente diferente faltou flores rosas e etc deixou muito a desejar eu escolhi a mais bonita e foi entregue a mais feia,0
possui conexão com entrada de rosca boa encaixe ok,0
foda o produto encaixou perfeitamente,0
eu achei o produto feio por isso devolvir,0
produto interessante entretanto eu achava que aquelas partes metalicas eram de inox mesmo e descobri que não na verdade é apenas pintado daquela cor além disso algumas peças para encaixar para esconder os furos dos parafusos não ficam bem deixando o produto um pouco feio pelo fato de nao ficar bem encaixado no mais é um produto confortável,0
a aparência da cadeira é muito feia com péssimo acabamento com costurar tortas e o encosto após a montagem ficou torto pois os furos não estavam no alinhamento correto o barato saiu caro só adquirindo um produto nacional daqui para a frente,0
perfeito no meu polo foda,0
produto com parafusos de fixação com rosca menor que a original brasileiro não sabe nem copiar,0
o cesto da fragmentadora veio com o fundo rachado como eu estava precisando muito dela eu colei com super bonder e ficou bom,0
gostei pra crl muito bom,0
achei o produto é bom apesar de que os parafusos internos poderem falhar rosca com facilidade,0
recebi a sinaleira traseira esquerda rachada,0
as pernas nao abracam a polpa da nadega ficas desconfortavel deveria ser um uco mais comprida,0
